text,created_at,source,is_retweet,retweet_count,in_reply_to_user_id_str,favorite_count
"Congressman Ron DeSantis is a brilliant young leader, Yale and then Harvard Law, who would make a GREAT Governor of Florida. He loves our Country and is a true FIGHTER!",Fri Dec 22 18:40:29 +0000 2017,Twitter for iPhone,False,16490,,Fri Dec 22 18:40:29 +0000 2017
"95% of Americans will pay less or, at worst, the same amount of taxes (mostly far less). The Dems only want to raise your taxes!",Fri Dec 22 16:46:49 +0000 2017,Twitter for iPhone,False,21759,,Fri Dec 22 16:46:49 +0000 2017
Will be signing the biggest ever Tax Cut and Reform Bill in 30 minutes in Oval Office. Will also be signing a much needed 4 billion dollar missile defense bill.,Fri Dec 22 15:07:55 +0000 2017,Twitter for iPhone,False,19465,,Fri Dec 22 15:07:55 +0000 2017
"With all my Administration has done on Legislative Approvals (broke Harry Truman’s Record), Regulation Cutting, Judicial Appointments, Building Military, VA, TAX CUTS &amp; REFORM, Record Economy/Stock Market and so much more, I am sure great credit will be given by mainstream news?",Fri Dec 22 15:04:39 +0000 2017,Twitter for iPhone,False,20014,,Fri Dec 22 15:04:39 +0000 2017
"“The President has accomplished some absolutely historic things during this past year.” Thank you Charlie Kirk of Turning Points USA. Sadly, the Fake Mainstream Media will NEVER talk about our accomplishments in their end of year reviews. We are compiling a long &amp; beautiful list.",Fri Dec 22 14:17:04 +0000 2017,Twitter for iPhone,False,19035,,Fri Dec 22 14:17:04 +0000 2017
"At some point, and for the good of the country, I predict we will start working with the Democrats in a Bipartisan fashion. Infrastructure would be a perfect place to start. After having foolishly spent $7 trillion in the Middle East, it is time to start rebuilding our country!",Fri Dec 22 13:05:06 +0000 2017,Twitter for iPhone,False,28082,,Fri Dec 22 13:05:06 +0000 2017
So true! https://t.co/1c8hu6O5t9,Fri Dec 22 12:50:42 +0000 2017,Twitter for iPhone,False,10295,,Fri Dec 22 12:50:42 +0000 2017
"Our big and very popular Tax Cut and Reform Bill has taken on an unexpected new source of “love” - that is big companies and corporations showering their workers with bonuses. This is a phenomenon that nobody even thought of, and now it is the rage. Merry Christmas!",Fri Dec 22 12:47:51 +0000 2017,Twitter for iPhone,False,22316,,Fri Dec 22 12:47:51 +0000 2017
"THANK YOU to everyone who joined me at the @WhiteHouse yesterday. Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/9HgcBKDSxo https://t.co/dTMU8OwmWB",Thu Dec 21 18:16:28 +0000 2017,Twitter for iPhone,False,14158,,Thu Dec 21 18:16:28 +0000 2017
"House Democrats want a SHUTDOWN for the holidays in order to distract from the very popular, just passed, Tax Cuts. House Republicans, don’t let this happen. Pass the C.R. TODAY and keep our Government OPEN!",Thu Dec 21 14:52:22 +0000 2017,Twitter for iPhone,False,21002,,Thu Dec 21 14:52:22 +0000 2017
Home Sales hit BEST numbers in 10 years! MAKE AMERICA GREAT AGAIN,Thu Dec 21 13:56:28 +0000 2017,Twitter for iPhone,False,18335,,Thu Dec 21 13:56:28 +0000 2017
Was @foxandfriends just named the most influential show in news? You deserve it - three great people! The many Fake News Hate Shows should study your formula for success!,Thu Dec 21 12:45:17 +0000 2017,Twitter for iPhone,False,19332,,Thu Dec 21 12:45:17 +0000 2017
